ID;Track;Danceability;Energy;Key;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_ms
11309;Ya No Te Quiero;686;481;4.0;-5645;29;294;0.0;0.1;415;123991;198773.0
11310;Good Directions;716;0.72;5.0;-2183;319;307;0.0;135;464;122512;215853.0
11311;People Are Crazy;651;699;5.0;-5006;265;213;265;0.12;0.36;141938;231360.0
11312;Do I Make You Wanna;553;747;9.0;-5432;279;106;0.0;154;521;90012;234307.0
11313;Must Be Doin' Somethin' Right;489;647;9.0;-3424;27;205;0.0;504;436;167792;269587.0
11314;It Don't Hurt Like It Used To;558;818;8.0;-4.07;403;71;0.0;0.21;453;81034;184507.0
11315;We Are Tonight;559;812;11.0;-5347;371;323;0.0;195;472;127911;232107.0
11316;Pretty Good At Drinkin' Beer;769;678;5.0;-3725;315;427;8.04e-06;939;581;106951;179907.0
11317;I Still Love You;697;518;0.0;-5894;294;771;0.0;0.11;604;129974;224150.0
11318;Don't It;571;826;1.0;-4475;362;446;0.0;343;713;90966;189000.0
11319;Let Me Down Easy;606;497;1.0;-5005;278;361;0.0;106;0.18;125059;228493.0
11320;Nobody (feat. Matthew West);561;717;8.0;-5.72;381;458;0.0;138;455;79993;206400.0
11321;Who Am I;545;472;11.0;-7552;279;434;0.0;684;193;134027;335907.0
11322;Just Be Held;0.5;658;0.0;-6399;345;623;0.0;159;0.27;76088;221080.0
11323;Desert Road;463;816;8.0;-4585;523;978;0.0;932;398;167794;218484.0
11324;Only Jesus;573;718;2.0;-6372;336;115;12;402;284;123994;223907.0
11325;Oh My Soul;331;427;3.0;-7431;302;498;0.0;108;141;157938;255173.0
11326;Praise You In This Storm;0.37;653;6.0;-6819;263;11;1.05e-05;115;346;164152;297640.0
11327;Voice of Truth;511;0.64;5.0;-7161;276;917;0.0;246;224;81977;323867.0
11328;Love Moved First;528;709;10.0;-6393;392;367;0.0;153;423;141962;205800.0
11329;Scars in Heaven;536;0.37;5.0;-9205;321;712;0.0;686;327;79954;267333.0
11330;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;824;862;2.0;-3424;126;76;132;303;801;122.98;169153.0
11331;Push The Feeling On - Mk Dub Revisited Edit;793;0.5;6.0;-13108;319;28;1.96e-05;186;833;123017;243160.0
11332;Losing My Mind;601;881;1.0;-3834;291;317;364;441;0.86;125026;204849.0
11333;Push The Feeling (feat. Big Narstie);0.81;0.86;11.0;-5953;675;452;0.0;0.12;825;132088;155145.0
11334;Push The Feeling On - Remix;778;813;9.0;-6024;433;574;395;505;882;122.08;211747.0
11335;Push The Feeling On - The Dub Of Doom;802;539;11.0;-13299;555;178;577;474;767;122027;400267.0
11336;Surrender Your Love (feat. John Reid) - MK Radio Edit;805;598;8.0;-9408;352;204;261;888;923;122303;227773.0
11337;Push The Feeling On - Mk Mix 95;818;499;11.0;-12864;487;258;376;156;486;123032;425267.0
11338;Push The Feeling;744;785;7.0;-9464;357;191;213;748;769;126.03;216667.0
11339;Push The Feeling On 2003 - Radio Mix (Jerome Isma-Ae Remix);736;653;6.0;-7312;329;703;0.0;872;689;128024;211000.0
11340;Your Man;744;637;6.0;-4483;241;337;222;696;785;100511;211893.0
11341;Would You Go With Me;605;864;6.0;-5365;292;0.13;827;113;736;122918;228187.0
11342;Why Don't We Just Dance;677;776;5.0;-5933;386;0.42;689;954;642;121834;192800.0
11343;Hometown Girl;502;792;3.0;-5473;335;304;385;143;0.44;155902;215080.0
11344;Long Black Train;537;699;10.0;-6615;399;237;2.27e-05;114;814;84905;250627.0
11345;Time Is Love;663;814;2.0;-4987;466;653;252;823;547;111.97;200373.0
11346;Forever And Ever, Amen;494;696;1.0;-7071;316;0.15;68;101;603;177049;227132.0
11347;Firecracker;439;972;4.0;-5358;936;727;297;691;781;174678;208800.0
11348;The Manger (with Josh Turner);515;0.44;9.0;-7876;26;791;0.0;981;315;92048;229387.0
11349;Me And God;592;761;3.0;-6212;284;0.2;1.4e-05;146;861;153362;179587.0
11350;It's Not Over;428;919;10.0;-3245;618;503;0.0;245;294;145927;214831.0
11351;Over You;425;922;3.0;-2.6;412;174;0.0;104;564;156045;204661.0
11352;Separate Ways (Worlds Apart);399;892;2.0;-4073;764;6.83e-06;888;0.74;911;131003;316459.0
11353;Waiting for Superman;555;682;0.0;-5711;269;29;0.0;662;383;105987;266960.0
11354;Home;443;853;6.0;-3885;361;217;1.77e-06;198;338;143986;255652.0
11355;Life After You;434;764;5.0;-3.45;299;534;0.0;437;309;51316;206413.0
11356;Start of Something Good;424;0.68;8.0;-4311;374;102;0.0;224;415;157867;264853.0
11357;Battleships;0.49;746;1.0;-4951;405;121;0.0;624;331;81848;232133.0
11358;What About Now;358;836;9.0;-2821;419;724;0.0;0.15;252;162007;253190.0
11359;No Surprise;481;779;3.0;-3.81;31;853;0.0;993;142;96029;269693.0
11360;In The End - Mellen Gi Remix;618;611;7.0;-6654;0.11;477;333;162;224;88.07;218189.0
11361;Enemy;581;803;2.0;-4935;152;343;0.0;939;686;124992;190200.0
11362;Hurts Like Hell;333;129;9.0;-12875;382;753;9.25e-06;107;664;129927;232594.0
11363;Only One King;683;933;2.0;-4666;131;599;2.63e-06;365;422;143972;210104.0
11364;In The End;481;673;7.0;-7437;112;312;3.29e-05;869;931;88024;234716.0
11365;Soldier;614;304;9.0;-9.76;325;242;15;131;785;83957;225000.0
11366;Can't Help Falling In Love - DARK;186;0.51;8.0;-5953;568;997;353;67;0.2;199928;169500.0
11367;Breathe;459;499;0.0;-7803;481;547;783;111;163;140117;217071.0
11368;Chasing Cars;256;0.24;3.0;-8588;292;821;4.54e-05;0.08;105;103096;235385.0
11369;Tomorrow We Fight;534;501;3.0;-4805;354;127;522;601;352;124.92;200160.0
11370;Te Va A Doler;606;839;8.0;-4.39;456;404;0.0;0.27;727;177668;292920.0
11371;Regálame una Noche;672;679;9.0;-5357;484;174;0.0;0.09;504;87102;276347.0
11372;Si Supieras;748;512;5.0;-9809;371;345;254;269;868;91.49;310973.0
11373;Amiga;683;826;7.0;-8599;727;506;0.0;162;832;171131;255213.0
11374;Será Qué SÍ;644;885;11.0;-5326;466;516;0.0;188;748;176759;275893.0
11375;Si Volvieras A Mi;636;815;7.0;-5296;364;417;0.0;191;805;170105;290707.0
11376;Por Favor Señora;664;816;7.0;-4352;531;355;0.0;56;605;174666;288240.0
11377;Este Amor;669;0.6;5.0;-6643;461;489;0.0;787;887;172784;280693.0
11378;He Vuelto Por Ti;0.52;0.8;10.0;-6953;399;479;8.65e-06;609;719;176615;280867.0
11379;Juegate A La Suerte;677;868;0.0;-4948;464;0.52;0.0;862;891;173491;290960.0
11380;House Of The Rising Sun;295;584;9.0;-6696;345;385;218;996;228;117.2;271280.0
11381;Don't Let Me Be Misunderstood;513;775;11.0;-5136;284;929;0.0;404;518;112202;149360.0
11382;We Gotta Get Out Of This Place - UK Single Version;534;0.61;5.0;-5276;343;432;2.77e-06;988;0.45;124.05;194600.0
11383;It's All over Now, Baby Blue;655;449;2.0;-9.61;358;395;119;852;0.28;117067;282773.0
11384;It's My Life;552;704;1.0;-4798;344;393;104;993;677;122.85;187613.0
11385;As the Crow Flies;663;0.39;9.0;-10333;288;621;184;112;534;72655;219133.0
11386;House Of The Rising Sun;464;464;9.0;-9779;329;29;319;255;118;119471;263373.0
11387;Bring It On Home To Me;465;598;7.0;-5.53;305;495;1.16e-06;175;748;124818;163867.0
11388;I Put a Spell on You;362;899;5.0;-4845;592;335;103;0.18;702;104373;176573.0
11389;Outcast;422;749;2.0;-6105;448;0.51;53;224;386;122017;184653.0
11390;Loving Is Easy;756;609;3.0;-7927;544;217;482;959;537;117024;155720.0
11391;Rolled Up;792;461;10.0;-11706;243;729;326;118;409;174402;183481.0
11392;Young Hearts;912;446;8.0;-8127;499;147;305;158;682;105011;159200.0
11393;Sunny Afternoon;838;408;8.0;-11721;727;104;593;793;485;101767;171756.0
11394;Big Brown Eyes;918;497;7.0;-8206;441;253;626;134;773;130.85;252133.0
11395;The World;754;515;1.0;-9.45;528;454;265;853;929;94986;186453.0
11396;Nobody's Fault;883;407;2.0;-10356;386;476;268;415;836;113983;202538.0
11397;Passionfruit;947;448;1.0;-8043;44;441;815;131;862;120965;193635.0
11398;Black and Blue (Pat Van Dyke Remix);801;445;1.0;-10666;378;954;504;921;916;97956;178776.0
11399;Miracles;728;0.52;5.0;-11742;733;387;375;678;634;168052;291715.0
11400;Call on Me - Radio Mix;597;837;10.0;-6518;375;427;115;839;447;126342;171360.0
11401;Pjanoo - Radio Edit;605;874;7.0;-4949;295;563;812;112;836;125.99;157432.0
11402;Opus;275;721;6.0;-6222;359;702;821;792;184;125156;543453.0
11403;Consciousness - Eric Prydz Remix;623;866;7.0;-7145;51;109;785;637;244;125967;244130.0
11404;We Are Mirage;556;792;4.0;-6723;361;521;0.75;494;871;127956;379500.0
11405;Call on Me;643;793;8.0;-8944;326;212;103;458;198;126.32;454440.0
11406;Generate - Radio Edit;603;826;11.0;-5072;274;755;5.54e-05;119;598;127026;165076.0
11407;Proper Education - Radio Edit;537;937;0.0;-4543;523;102;35;917;324;124938;198567.0
11408;Tether (Eric Prydz Vs. CHVRCHES) - Radio Edit;382;719;10.0;-7155;474;3.39e-05;277;152;289;127196;186624.0
11409;Pjanoo - Club Mix;663;624;7.0;-6923;324;939;888;666;0.63;126024;450912.0
11410;WWE: The Time Is Now (John Cena);442;974;8.0;-4327;348;567;1.45e-06;0.12;283;174003;176791.0
11411;WWE: Head of the Table (Roman Reigns);422;785;1.0;-5475;36;133;944;356;341;144.96;176400.0
11412;WWE: Shatter (Bray Wyatt);0.34;778;1.0;-6297;469;569;103;416;704;120741;273742.0
11413;The Game (Triple H);303;978;8.0;-2123;122;653;0.0;958;0.28;170286;209907.0
11414;I Walk Alone (Batista);391;876;6.0;-4096;316;7.77e-05;12;714;299;150131;247400.0
11415;Voices (Randy Orton);0.48;648;0.0;-10809;293;387;0.0;118;672;165012;204636.0
11416;WWE: Visionary (Seth Rollins);513;976;2.0;-5242;649;5.79e-06;725;361;319;112073;144437.0
11417;King of Kings (Triple H);622;816;8.0;-6072;483;453;169;115;339;120.06;238827.0
11418;WWE: Demon In Your Dreams (Rhea Ripley);516;0.95;1.0;-5443;998;42;5.29e-06;423;313;104958;141755.0
11419;WWE: Broken Dreams (Drew McIntyre) [feat. Shaman's Harvest];433;0.67;8.0;-10.4;365;179;1.63e-06;112;335;160087;267634.0
11420;Sweet Child O' Mine;446;952;6.0;-5321;523;901;857;112;624;125303;356067.0
11421;November Rain;294;641;11.0;-9316;291;163;0.22;112;226;79759;536067.0
11422;Welcome To The Jungle;453;987;8.0;-4485;889;195;283;268;316;123544;273480.0
11423;Knockin' On Heaven's Door;496;739;6.0;-7193;415;211;444;106;378;132.41;336000.0
11424;Don't Cry (Original);456;0.59;11.0;-8638;327;182;379;104;243;124635;283733.0
11425;Paradise City;268;0.98;11.0;-5958;103;192;709;182;395;100315;405600.0
11426;Live And Let Die;262;777;11.0;-8671;632;109;113;0.12;264;152.5;182733.0
11427;You Could Be Mine;0.35;985;10.0;-5676;122;876;551;0.36;323;151007;343640.0
11428;Patience;457;297;6.0;-12511;306;686;107;109;333;120021;354880.0
11429;Civil War;336;787;10.0;-8803;732;793;648;0.32;383;140003;462093.0
11430;Gato de Noche;892;662;8.0;-3894;162;169;1.24e-06;363;607;93976;227013.0
11431;La Llevo Al Cielo (Ft. Ñengo Flow);795;845;9.0;-3809;135;105;1.14e-05;172;769;170023;254920.0
11432;Safaera;607;829;2.0;-4074;379;103;0.0;107;685;96172;295177.0
11433;Delincuente;798;0.71;2.0;-3.39;973;576;25;0.4;662;97875;226491.0
11434;Que Malo;802;787;7.0;-6181;599;832;0.0;153;446;94026;167975.0
11435;Sufro;662;0.83;1.0;-5322;902;916;0.0;895;737;157949;276835.0
11436;Cuando Me Dirá;0.85;839;7.0;-8016;484;194;0.0;622;227;88013;149082.0
11437;Profecía;795;868;1.0;-3106;112;184;1.07e-05;519;751;179966;205700.0
11438;Cochinae (Remix);834;814;6.0;-5624;522;314;14;0.31;963;97987;303673.0
11439;Hoy (feat. Bad Bunny);675;681;5.0;-4495;151;0.23;0.0;132;553;141.87;234272.0
11440;Trance (with Travis Scott & Young Thug);571;549;1.0;-7.38;404;0.18;0.0;168;447;119497;194787.0
11441;Metro Spider (with Young Thug);709;734;1.0;-5027;125;411;0.0;346;245;143087;174560.0
11442;Way 2 Sexy (with Future & Young Thug);803;597;11.0;-6035;141;619;4.5e-06;323;331;136008;257605.0
11443;Go Crazy;755;578;0.0;-8932;145;316;0.0;0.25;581;94148;176960.0
11444;Potion (with Dua Lipa & Young Thug);824;697;11.0;-4869;473;158;4.11e-05;751;757;99987;215216.0
11445;Never Hating (feat. Young Thug);879;504;8.0;-8284;271;16;0.0;147;335;102929;160777.0
11446;Solid (feat. Drake);887;485;11.0;-9358;0.2;392;0.0;141;328;125987;215693.0
11447;Livin It Up (with Post Malone & A$AP Rocky);767;313;7.0;-12059;798;838;0.0;105;765;82582;210907.0
11448;Bad Boy (with Young Thug);697;674;1.0;-6326;533;215;0.0;138;198;81535;157355.0
11449;Hot (feat. Gunna);855;651;0.0;-8044;235;63;0.0;772;559;111997;193027.0
11450;Can You Feel My Heart;0.15;859;4.0;-2827;595;201;194;387;354;170527;228147.0
11451;Throne;426;888;0.0;-3.72;987;455;0.0;306;387;144111;191520.0
11452;maybe (feat. Bring Me The Horizon);601;0.92;5.0;-4802;505;735;0.0;998;537;88014;170134.0
11453;sTraNgeRs;346;939;5.0;-3061;182;231;0.0;433;526;183147;195748.0
11454;Kingslayer (feat. BABYMETAL);434;929;1.0;-2749;147;207;109;916;428;92541;220042.0
11455;Drown;405;0.94;1.0;-3103;844;102;2.79e-05;719;0.24;143126;222093.0
11456;Sleepwalking;0.4;959;2.0;-3258;103;187;4.21e-06;231;339;149062;230093.0
11457;Follow You;0.54;661;3.0;-5534;381;765;0.0;125;506;90012;231107.0
11458;Shadow Moses;456;985;6.0;-2949;207;235;368;103;183;143006;243320.0
11459;DiE4u;355;919;7.0;-3771;356;234;313;262;259;159922;207141.0
11460;Low (feat. T-Pain);918;609;10.0;-5.64;791;928;0.0;139;304;128008;231400.0
11461;Wild Ones (feat. Sia);608;0.86;5.0;-5324;554;991;0.0;262;437;127075;232947.0
11462;Whistle;747;937;0.0;-5746;453;208;0.0;0.29;739;103976;224653.0
11463;Club Can't Handle Me (feat. David Guetta);616;869;0.0;-3911;327;283;0.0;64;473;127966;234560.0
11464;Good Feeling;706;0.89;1.0;-4444;688;588;286;306;684;128011;248133.0
11465;My House;688;702;7.0;-4792;499;215;0.0;128;0.74;94006;192191.0
11466;Right Round;0.72;672;7.0;-6852;551;9;0.0;232;705;124986;204640.0
11467;GDFR (feat. Sage the Gemini & Lookas);657;827;5.0;-4036;734;704;534;65;0.69;145889;190186.0
11468;I Cry;693;822;4.0;-5441;439;616;1.79e-06;315;763;126035;223800.0
11469;Low (LUNAX Remix);0.7;854;10.0;-5436;879;877;344;453;172;137943;160000.0
11470;Cookies N' Cream (feat. ANNA & Sfera Ebbasta);572;0.66;9.0;-5375;244;0.37;0.0;323;581;123691;201845.0
11471;Need U 2Nite (feat. Massimo Pericolo);734;618;10.0;-3736;232;446;0.0;279;373;90109;161507.0
11472;Tuta Maphia (feat. Paky);721;629;9.0;-4802;124;401;0.0;298;324;87971;212146.0
11473;Free (feat. Marracash & Rkomi);682;648;0.0;-6666;358;457;0.0;356;687;78312;190587.0
11474;Mollami Pt.2;757;805;6.0;-4.84;553;802;2.93e-05;118;848;99997;155134.0
11475;Prefissi;536;0.8;5.0;-5.81;217;512;0.0;383;747;81721;195662.0
11476;NUN SE VER (feat. Guè);602;533;8.0;-7682;433;343;2.41e-06;836;353;126053;158667.0
11477;∞ LOVE (feat. Guè);726;828;7.0;-5191;71;105;0.0;873;307;125002;218368.0
11478;Mi Hai Capito O No?;811;728;11.0;-5255;322;36;3.29e-06;766;533;102075;173415.0
11479;Chiudi Gli Occhi;712;667;0.0;-4941;233;0.21;0.0;307;705;89991;182153.0
11480;Wake Up in the Sky;0.8;578;4.0;-5144;485;381;0.0;367;367;143.01;203161.0
11481;King Snipe;818;526;1.0;-8078;277;103;0.0;146;531;125061;214594.0
11482;I Get the Bag (feat. Migos);0.89;633;11.0;-5475;168;232;343;993;425;139948;233087.0
11483;Both (feat. Drake);0.85;405;7.0;-7509;225;119;118;707;344;139976;190312.0
11484;Rumors (feat. Lil Durk);688;842;2.0;-4211;264;499;0.0;241;416;159897;185856.0
11485;Letter to Takeoff;808;478;5.0;-8.63;381;375;0.0;761;335;140958;217872.0
11486;Champions;692;774;6.0;-2.48;876;623;0.0;873;349;134952;334253.0
11487;Us vs. Them (feat Gucci Mane);729;482;1.0;-8152;806;154;3.23e-06;161;292;150004;216000.0
11488;Roster;929;627;10.0;-7609;195;312;129;154;577;131037;164947.0
11489;Curve (feat. The Weeknd);0.76;476;8.0;-8103;241;294;0.0;0.1;354;147.01;161990.0
11490;2 Sugar (feat. Ayra Starr);914;643;6.0;-3862;134;498;0.0;618;764;105033;187907.0
11491;Essence (feat. Tems);849;707;0.0;-6002;113;266;8.58e-06;618;602;104027;248040.0
11492;Wow (feat. Skepta & Naira Marley);947;652;6.0;-4292;233;156;346;651;447;110031;179800.0
11493;Joro;686;694;7.0;-3693;257;253;904;109;587;189998;262737.0
11494;Call Me Every Day (feat. Wizkid);0.73;634;4.0;-7191;181;107;1.44e-05;976;798;171874;146840.0
11495;Mood (feat. BNXN);897;0.7;1.0;-2776;117;193;9;0.12;755;101944;209760.0
11496;System (feat. WizKid);817;669;0.0;-4278;0.1;105;1.25e-06;247;693;106934;181550.0
11497;Ginger (feat. Burna Boy);545;749;4.0;-6621;153;103;0.0;232;681;100503;196147.0
11498;Essence (feat. Justin Bieber & Tems);836;0.69;0.0;-5816;123;142;1.22e-05;112;586;104004;263293.0
11499;Energy (Stay Far Away);836;614;8.0;-4543;311;345;9.86e-05;88;603;101.97;199521.0
11500;Sálvame;473;657;6.0;-6278;24;454;2.41e-06;68;294;74996;224973.0
11501;Sólo Quédate En Silencio;464;775;7.0;-4838;313;203;0.0;478;672;184089;219520.0
11502;Este Corazón;497;619;7.0;-4811;322;0.47;0.0;708;756;159996;210440.0
11503;Tras De Mí;0.64;931;0.0;-3437;852;172;0.0;248;851;115036;192320.0
11504;Ser O Parecer;605;0.88;1.0;-3747;0.14;263;0.0;0.2;908;176028;211467.0
11505;Aún Hay Algo;611;0.82;4.0;-2784;316;84;0.0;107;786;94981;214933.0
11506;Rebelde;671;782;7.0;-6498;47;122;0.0;525;0.62;95011;214307.0
11507;Enséñame;0.68;796;2.0;-5884;588;385;0.0;375;624;80945;221853.0
11508;Nuestro Amor;541;769;4.0;-6253;339;556;1.54e-05;0.17;382;129971;215747.0
11509;Un Poco De Tu Amor;785;773;8.0;-7.61;334;296;8.12e-06;667;892;119996;206120.0
11510;Sálvame;473;657;6.0;-6278;24;454;2.41e-06;68;294;74996;224973.0
11511;Sólo Quédate En Silencio;464;775;7.0;-4838;313;203;0.0;478;672;184089;219520.0
11512;Este Corazón;497;619;7.0;-4811;322;0.47;0.0;708;756;159996;210440.0
11513;Tras De Mí;0.64;931;0.0;-3437;852;172;0.0;248;851;115036;192320.0
11514;Ser O Parecer;605;0.88;1.0;-3747;0.14;263;0.0;0.2;908;176028;211467.0
11515;Aún Hay Algo;611;0.82;4.0;-2784;316;84;0.0;107;786;94981;214933.0
11516;Rebelde;671;782;7.0;-6498;47;122;0.0;525;0.62;95011;214307.0
11517;Enséñame;0.68;796;2.0;-5884;588;385;0.0;375;624;80945;221853.0
11518;Nuestro Amor;541;769;4.0;-6253;339;556;1.54e-05;0.17;382;129971;215747.0
11519;Un Poco De Tu Amor;785;773;8.0;-7.61;334;296;8.12e-06;667;892;119996;206120.0
11520;Blaues Licht;819;828;8.0;-4906;108;0.39;611;258;693;144953;144264.0
11521;Ohne mein Team;773;0.8;1.0;-6062;925;0.16;1.6e-05;744;637;129949;188504.0
11522;Mood - RAF Camora Remix;687;564;1.0;-9881;105;0.56;408;182;564;125017;147360.0
11523;Diamant;816;588;1.0;-7149;273;431;215;709;219;102982;137476.0
11524;Coco 2.0;799;845;11.0;-6.11;198;298;248;0.17;719;121914;111144.0
11525;500 PS;805;924;7.0;-5883;439;391;448;902;836;139976;181971.0
11526;2CB;0.82;725;10.0;-6449;208;456;457;114;364;125049;172288.0
11527;Palmen aus Plastik;645;0.67;9.0;-7074;538;106;165;292;323;104.85;184996.0
11528;Taxi;853;727;10.0;-7712;191;548;219;188;417;108035;172580.0
11529;Eine Idee;759;688;11.0;-6502;215;164;242;108;556;192189;150297.0
11530;"Apna Bana Le (From ""Bhediya"")";586;562;9.0;-7399;267;803;5.52e-06;63;436;93982;261702.0
11531;Saibo;619;429;2.0;-7867;28;738;1.35e-05;136;545;90058;195253.0
11532;Barbaadiyan;758;0.57;6.0;-8645;462;374;2.47e-06;184;567;126966;230185.0
11533;"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")";875;846;7.0;-5276;716;137;1.15e-05;123;697;114981;164046.0
11534;Jug Jug Jeeve;559;632;5.0;-7.58;608;413;0.0;118;699;90097;199175.0
11535;Bijli;573;819;1.0;-6246;256;306;1.13e-06;653;862;108786;174000.0
11536;Valentine's Mashup 2019;595;0.61;7.0;-6887;499;332;2.14e-06;628;314;97974;212522.0
11537;Thumkeshwari;757;682;7.0;-5292;553;55;0.0;815;562;98977;163179.0
11538;"Ek Zindagi (From ""Angrezi Medium"")";688;609;0.0;-7096;495;706;0.0;157;627;110027;170089.0
11539;"Nazar Na Lag Jaaye (From ""Stree"")";527;622;7.0;-8172;842;0.7;2.82e-06;126;672;173709;206175.0
11540;La Máquina;799;775;11.0;-5869;77;308;526;309;605;95027;296907.0
11541;Safaera;607;829;2.0;-4074;379;103;0.0;107;685;96172;295177.0
11542;Si Te Pillo;687;781;7.0;-4657;944;166;4.32e-06;255;655;180.1;219721.0
11543;Bonita;775;867;5.0;-1582;414;132;684;278;869;96038;265747.0
11544;TORO;596;868;1.0;-3632;196;148;232;296;648;93862;254458.0
11545;Se Acabó la Cuarentena;886;605;6.0;-4311;109;127;167;767;646;122052;166971.0
11546;Látigo;878;742;3.0;-6629;656;52;0.0;974;856;94.97;146146.0
11547;Hoy Se Chicha;883;721;9.0;-7494;374;0.17;602;252;371;94977;154399.0
11548;Sólo Por Ti;0.69;553;5.0;-6065;61;147;0.0;107;766;86102;235467.0
11549;Vamo a Busal;763;858;2.0;-3367;149;151;0.0;306;689;89839;240000.0
11550;"Besharam Rang (From ""Pathaan"")";773;795;8.0;-5537;412;587;237;154;649;115997;258474.0
11551;Subhanallah;302;493;9.0;-5038;451;455;0.0;134;457;88904;249707.0
11552;Khuda Jaane;382;632;8.0;-6393;411;391;486;922;716;78936;333584.0
11553;"Ghungroo (From ""War"")";695;729;6.0;-6274;322;738;182;533;872;118028;302935.0
11554;"Tere Hawaale (From ""Laal Singh Chaddha"")";589;522;9.0;-10649;391;642;2.74e-05;992;0.31;109094;346291.0
11555;"Bulleya (From ""Ae Dil Hai Mushkil"")";552;769;2.0;-4504;465;497;0.0;112;702;86957;348966.0
11556;Roz Roz;653;446;0.0;-7867;351;546;4.52e-05;109;472;100018;218550.0
11557;Allah Maaf Kare;664;792;6.0;-5294;283;184;417;106;0.86;139961;230165.0
11558;Kalank (Duet);581;555;10.0;-8475;353;561;3.26e-05;957;491;117965;311186.0
11559;Love Mashup;711;673;5.0;-5.89;336;0.25;0.0;214;393;109992;240017.0
11560;The Middle;753;657;7.0;-3061;449;171;0.0;112;437;107.01;184732.0
11561;The Bones;612;0.57;11.0;-6642;347;278;0.0;963;334;77004;197293.0
11562;Make You Say;687;0.61;8.0;-4713;499;351;0.0;175;649;128.15;206000.0
11563;My Church;517;743;9.0;-4336;363;243;3.36e-06;107;664;76979;197931.0
11564;The Bones - with Hozier;561;597;11.0;-6.0;405;286;0.0;979;355;76826;197299.0
11565;Chasing After You;601;675;4.0;-6358;399;698;0.0;125;446;131933;207667.0
11566;I Can't Love You Anymore;342;591;2.0;-5115;452;217;0.0;0.16;399;175673;169307.0
11567;I Could Use a Love Song;638;634;6.0;-6474;468;214;0.0;866;473;92097;196422.0
11568;Seeing Blind;716;555;9.0;-7.57;371;372;0.0;105;483;93973;185281.0
11569;Line By Line (feat. Maren Morris);646;483;0.0;-7273;425;309;0.0;124;461;72.46;206213.0
11570;sure thing (sped up);661;511;9.0;-8675;243;435;201;117;552;192632;113054.0
11571;Past Lives;0.73;125;3.0;-17216;34;916;725;783;189;116058;134583.0
11572;after dark x sweater weather;571;468;0.0;-11423;371;107;721;108;307;140034;290571.0
11573;Sure Thing (8D sped up);635;461;9.0;-11388;195;105;703;118;636;192846;113054.0
11574;eyes blue or brown, can't remember;751;354;10.0;-14518;446;885;179;206;781;143.87;180833.0
11575;hola como tale tale vu - 1, 2, 3;841;453;8.0;-10499;74;401;7.29e-05;118;842;94.96;122947.0
11576;Past Lives (8D Audio);647;133;3.0;-17148;353;947;265;793;213;116072;135484.0
11577;stargirl interlude (sped up);714;538;1.0;-11664;166;0.58;66;107;0.45;107108;98665.0
11578;woo x I was never there (sped up);363;707;0.0;-9667;562;252;121;341;408;133.11;178390.0
11579;goverment hooker (sped up) - tiktok version;635;0.93;5.0;-4899;147;975;867;592;0.65;147095;179417.0
11580;sure thing (sped up);661;511;9.0;-8675;243;435;201;117;552;192632;113054.0
11581;Past Lives;723;131;3.0;-17076;353;922;256;775;0.16;116049;134545.0
11582;after dark x sweater weather;571;468;0.0;-11423;371;107;721;108;307;140034;290571.0
11583;Sure Thing (8D sped up);635;461;9.0;-11388;195;105;703;118;636;192846;113054.0
11584;hola como tale tale vu - 1, 2, 3;841;453;8.0;-10499;74;401;7.29e-05;118;842;94.96;122947.0
11585;Past Lives (8D Audio);647;133;3.0;-17148;353;947;265;793;213;116072;135484.0
11586;stargirl interlude (sped up);714;538;1.0;-11664;166;0.58;66;107;0.45;107108;98665.0
11587;woo x I was never there (sped up);363;707;0.0;-9667;562;252;121;341;408;133.11;178390.0
11588;goverment hooker (sped up) - tiktok version;635;0.93;5.0;-4899;147;975;867;592;0.65;147095;179417.0
11589;sweater weather x another love;0.6;501;5.0;-11929;484;452;235;859;482;124003;180000.0
11590;Bottoms Up (feat. Nicki Minaj);844;601;1.0;-5283;157;205;0.0;385;331;73989;242013.0
11591;Slow Motion;733;408;7.0;-7834;388;679;3.92e-05;0.11;291;94947;197854.0
11592;Can't Help but Wait;699;699;8.0;-5564;737;358;0.0;912;611;94977;206413.0
11593;Na Na;0.67;476;9.0;-6253;406;328;0.0;104;235;96975;231907.0
11594;Say Aah (feat. Fabolous);724;0.87;1.0;-3614;113;453;0.0;833;0.81;93.01;207547.0
11595;Touchin, Lovin (feat. Nicki Minaj);813;0.58;11.0;-6724;746;405;8.45e-06;349;443;100045;221972.0
11596;Neighbors Know My Name;663;693;7.0;-5776;635;379;0.0;162;391;120026;186307.0
11597;Nobody Else but You;708;612;5.0;-6379;122;381;0.0;277;263;139913;229013.0
11598;Love Faces;654;599;11.0;-6699;561;599;0.0;161;333;119782;243800.0
11599;Chi Chi (feat. Chris Brown);744;549;9.0;-6041;387;548;0.0;137;277;110004;139567.0
11600;Ciao Baby;635;0.53;1.0;-8605;555;194;197;149;183;102043;186009.0
11601;Senza Di Me (feat. Venerus & Franco126);698;636;8.0;-5844;34;167;0.0;125;313;107282;201961.0
11602;Toradol;701;623;2.0;-5271;493;804;13;498;471;158891;136118.0
11603;Lo Sai Che Ci Penso;727;526;7.0;-8377;794;81;0.0;184;468;147849;180347.0
